MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
C5601537,550.25,95041,638,1,17.0,28,15,5,88,60,5,0,6,3,19,17,0,1,1,0.0,0.0,0.0,0.0
E5559993,656.82,64241,1099,1,46.0,39,56,0,73,42,0,0,20,7,25,22,0,4,0,0.0,0.0,0.0,0.0
W5585920,230.41,81751,849,1,14.7,19,72,0,20,46,46,0,34,7,10,21,9,3,1,0.0,0.0,0.0,0.0
C5591364,820.99,83466,699,1,31.0,34,18,1,85,38,4,0,5,2,14,17,0,3,1,0.0,0.0,0.0,0.0
C5603487,686.0,133496,1088,1,13.0,58,31,0,96,67,7,0,5,3,22,23,3,8,0,0.0,0.0,0.0,1.0
W5594093,446.13,91902,1262,1,4.0,23,73,0,65,52,24,0,34,5,22,22,23,18,0,0.0,0.0,1.0,0.0
C5604387,462.47,103466,649,1,6.0,32,24,0,94,67,6,0,9,3,20,26,0,10,1,0.0,0.0,0.0,0.0
C5570722,623.48,147461,616,1,6.0,30,29,1,92,57,7,0,2,2,15,20,0,0,1,0.0,0.0,0.0,0.0
C5574068,1132.47,74753,1727,1,7.0,45,44,0,100,29,6,0,7,2,16,23,0,1,1,0.0,0.0,0.0,0.0
C5600427,731.0,110150,949,1,0.5,27,21,0,96,65,7,0,7,3,20,22,0,4,0,0.0,0.0,0.0,0.0
W5601865,1204.4328,155193,1299,1,0.5,28,68,1,45,61,13,0,6,4,30,23,0,0,1,0.0,0.0,1.0,0.0
E5575030,360.0,118921,1299,1,0.5,40,42,1,86,49,6,0,23,1,14,27,20,25,0,1.0,0.0,0.0,0.0
C5605412,718.0,99816,969,1,21.0,34,23,0,95,69,9,0,12,2,20,26,1,12,1,0.0,0.0,0.0,0.0
C5561077,403.64,100760,581,1,1.0,33,20,2,96,61,7,0,6,3,19,24,0,9,1,0.0,0.0,0.0,0.0
W5599991,2230.0,189357,2772,2,11.0,27,69,1,10,55,21,0,11,5,18,20,1,39,0,0.0,0.0,1.0,0.0
W5579349,301.36,65480,1015,1,2.0,34,64,0,14,49,16,0,29,6,25,23,26,11,0,0.0,0.0,0.0,0.0
E5584177,460.67,55618,810,1,11.4,27,63,1,71,33,1,0,17,4,26,21,1,1,0,0.0,0.0,0.0,0.0
C5573170,714.31,92096,1000,1,17.0,39,55,1,28,37,25,0,15,5,21,24,3,17,0,0.0,0.0,0.0,0.0
C5601593,535.99,80557,699,1,9.0,49,30,0,96,70,9,0,12,3,18,23,1,12,1,0.0,0.0,0.0,0.0
E5591035,887.33,99991,1899,1,43.0,48,50,1,28,52,7,0,20,4,21,21,2,24,1,0.0,0.0,0.0,0.0
E5580802,799.83,65475,1226,1,30.0,32,64,0,15,45,1,0,18,7,22,20,4,5,1,0.0,0.0,0.0,0.0
C5590531,491.86,83466,664,1,2.0,34,18,1,85,38,4,0,5,2,14,17,0,3,0,0.0,0.0,0.0,0.0
C5593087,409.03,95459,507,1,8.0,39,35,1,93,63,10,0,5,2,17,20,0,1,1,0.0,0.0,0.0,0.0
C5588456,533.05,106297,687,1,15.0,28,27,0,97,57,4,0,3,2,15,21,0,0,1,0.0,0.0,0.0,0.0
E5580507,385.77,67617,668,1,3.0,59,33,0,82,44,2,0,16,4,26,23,9,18,1,1.0,0.0,0.0,0.0
C5568550,366.15,102782,579,1,5.0,28,22,0,94,72,7,0,16,2,18,22,0,8,0,0.0,0.0,0.0,0.0
C5591350,439.0,317705,499,1,5.0,33,33,1,95,70,10,0,3,3,14,15,3,5,0,0.0,0.0,0.0,0.0
